,LR_filename,LR_filepath,LR_dimensions,HR_filename,HR_filepath,HR_dimensions,downsample_method
0,train_0790.png,./DIV2K/DIV2K_train_LR/train_0790.png,1020x678,0790.png,./DIV2K/DIV2K_train_HR/0790.png,2040x1356,NEAREST
1,train_0171.png,./DIV2K/DIV2K_train_LR/train_0171.png,1020x768,0171.png,./DIV2K/DIV2K_train_HR/0171.png,2040x1536,NEAREST
2,train_0609.png,./DIV2K/DIV2K_train_LR/train_0609.png,1020x678,0609.png,./DIV2K/DIV2K_train_HR/0609.png,2040x1356,NEAREST
3,train_0643.png,./DIV2K/DIV2K_train_LR/train_0643.png,1020x768,0643.png,./DIV2K/DIV2K_train_HR/0643.png,2040x1536,NEAREST
4,train_0421.png,./DIV2K/DIV2K_train_LR/train_0421.png,762x1020,0421.png,./DIV2K/DIV2K_train_HR/0421.png,1524x2040,NEAREST
5,train_0395.png,./DIV2K/DIV2K_train_LR/train_0395.png,1020x678,0395.png,./DIV2K/DIV2K_train_HR/0395.png,2040x1356,NEAREST
6,train_0274.png,./DIV2K/DIV2K_train_LR/train_0274.png,1020x678,0274.png,./DIV2K/DIV2K_train_HR/0274.png,2040x1356,NEAREST
7,train_0084.png,./DIV2K/DIV2K_train_LR/train_0084.png,1020x684,0084.png,./DIV2K/DIV2K_train_HR/0084.png,2040x1368,NEAREST
8,train_0525.png,./DIV2K/DIV2K_train_LR/train_0525.png,1020x678,0525.png,./DIV2K/DIV2K_train_HR/0525.png,2040x1356,NEAREST
9,train_0603.png,./DIV2K/DIV2K_train_LR/train_0603.png,678x1020,0603.png,./DIV2K/DIV2K_train_HR/0603.png,1356x2040,NEAREST
10,train_0294.png,./DIV2K/DIV2K_train_LR/train_0294.png,1020x678,0294.png,./DIV2K/DIV2K_train_HR/0294.png,2040x1356,NEAREST
11,train_0226.png,./DIV2K/DIV2K_train_LR/train_0226.png,1020x678,0226.png,./DIV2K/DIV2K_train_HR/0226.png,2040x1356,NEAREST
12,train_0178.png,./DIV2K/DIV2K_train_LR/train_0178.png,1020x678,0178.png,./DIV2K/DIV2K_train_HR/0178.png,2040x1356,NEAREST
13,train_0281.png,./DIV2K/DIV2K_train_LR/train_0281.png,1020x576,0281.png,./DIV2K/DIV2K_train_HR/0281.png,2040x1152,NEAREST
14,train_0414.png,./DIV2K/DIV2K_train_LR/train_0414.png,678x1020,0414.png,./DIV2K/DIV2K_train_HR/0414.png,1356x2040,NEAREST
15,train_0253.png,./DIV2K/DIV2K_train_LR/train_0253.png,1020x678,0253.png,./DIV2K/DIV2K_train_HR/0253.png,2040x1356,NEAREST
16,train_0318.png,./DIV2K/DIV2K_train_LR/train_0318.png,1020x678,0318.png,./DIV2K/DIV2K_train_HR/0318.png,2040x1356,NEAREST
17,train_0454.png,./DIV2K/DIV2K_train_LR/train_0454.png,1020x678,0454.png,./DIV2K/DIV2K_train_HR/0454.png,2040x1356,NEAREST
18,train_0652.png,./DIV2K/DIV2K_train_LR/train_0652.png,1020x678,0652.png,./DIV2K/DIV2K_train_HR/0652.png,2040x1356,NEAREST
19,train_0269.png,./DIV2K/DIV2K_train_LR/train_0269.png,1020x816,0269.png,./DIV2K/DIV2K_train_HR/0269.png,2040x1632,NEAREST
20,train_0441.png,./DIV2K/DIV2K_train_LR/train_0441.png,1020x594,0441.png,./DIV2K/DIV2K_train_HR/0441.png,2040x1188,NEAREST
21,train_0368.png,./DIV2K/DIV2K_train_LR/train_0368.png,1020x678,0368.png,./DIV2K/DIV2K_train_HR/0368.png,2040x1356,NEAREST
22,train_0397.png,./DIV2K/DIV2K_train_LR/train_0397.png,1020x630,0397.png,./DIV2K/DIV2K_train_HR/0397.png,2040x1260,NEAREST
23,train_0775.png,./DIV2K/DIV2K_train_LR/train_0775.png,1020x678,0775.png,./DIV2K/DIV2K_train_HR/0775.png,2040x1356,NEAREST
24,train_0323.png,./DIV2K/DIV2K_train_LR/train_0323.png,1020x678,0323.png,./DIV2K/DIV2K_train_HR/0323.png,2040x1356,NEAREST
25,train_0170.png,./DIV2K/DIV2K_train_LR/train_0170.png,1020x576,0170.png,./DIV2K/DIV2K_train_HR/0170.png,2040x1152,NEAREST
26,train_0030.png,./DIV2K/DIV2K_train_LR/train_0030.png,1020x636,0030.png,./DIV2K/DIV2K_train_HR/0030.png,2040x1272,NEAREST
27,train_0313.png,./DIV2K/DIV2K_train_LR/train_0313.png,678x1020,0313.png,./DIV2K/DIV2K_train_HR/0313.png,1356x2040,NEAREST
28,train_0746.png,./DIV2K/DIV2K_train_LR/train_0746.png,1020x678,0746.png,./DIV2K/DIV2K_train_HR/0746.png,2040x1356,NEAREST
29,train_0571.png,./DIV2K/DIV2K_train_LR/train_0571.png,1020x678,0571.png,./DIV2K/DIV2K_train_HR/0571.png,2040x1356,NEAREST
30,train_0238.png,./DIV2K/DIV2K_train_LR/train_0238.png,648x1020,0238.png,./DIV2K/DIV2K_train_HR/0238.png,1296x2040,NEAREST
31,train_0510.png,./DIV2K/DIV2K_train_LR/train_0510.png,1020x678,0510.png,./DIV2K/DIV2K_train_HR/0510.png,2040x1356,NEAREST
32,train_0580.png,./DIV2K/DIV2K_train_LR/train_0580.png,1020x672,0580.png,./DIV2K/DIV2K_train_HR/0580.png,2040x1344,NEAREST
33,train_0520.png,./DIV2K/DIV2K_train_LR/train_0520.png,1020x678,0520.png,./DIV2K/DIV2K_train_HR/0520.png,2040x1356,NEAREST
