,LR_filename,LR_filepath,LR_dimensions,HR_filename,HR_filepath,HR_dimensions,downsample_method
3,train_001465.png,./Flickr2K_Downsampled/LR/train_001465.png,510x339,001465.png,./Flickr2K_Downsampled/HR/001465.png,1020x678,NEAREST
4,train_001479.png,./Flickr2K_Downsampled/LR/train_001479.png,510x339,001479.png,./Flickr2K_Downsampled/HR/001479.png,1020x678,NEAREST
8,train_000399.png,./Flickr2K_Downsampled/LR/train_000399.png,510x339,000399.png,./Flickr2K_Downsampled/HR/000399.png,1020x678,NEAREST
10,train_001678.png,./Flickr2K_Downsampled/LR/train_001678.png,510x339,001678.png,./Flickr2K_Downsampled/HR/001678.png,1020x678,NEAREST
12,train_002123.png,./Flickr2K_Downsampled/LR/train_002123.png,510x339,002123.png,./Flickr2K_Downsampled/HR/002123.png,1020x678,NEAREST
14,train_002312.png,./Flickr2K_Downsampled/LR/train_002312.png,510x339,002312.png,./Flickr2K_Downsampled/HR/002312.png,1020x678,NEAREST
19,train_001777.png,./Flickr2K_Downsampled/LR/train_001777.png,510x339,001777.png,./Flickr2K_Downsampled/HR/001777.png,1020x678,NEAREST
20,train_002236.png,./Flickr2K_Downsampled/LR/train_002236.png,510x339,002236.png,./Flickr2K_Downsampled/HR/002236.png,1020x678,NEAREST
22,train_000158.png,./Flickr2K_Downsampled/LR/train_000158.png,510x339,000158.png,./Flickr2K_Downsampled/HR/000158.png,1020x678,NEAREST
23,train_000296.png,./Flickr2K_Downsampled/LR/train_000296.png,510x339,000296.png,./Flickr2K_Downsampled/HR/000296.png,1020x678,NEAREST
28,train_001358.png,./Flickr2K_Downsampled/LR/train_001358.png,510x339,001358.png,./Flickr2K_Downsampled/HR/001358.png,1020x678,NEAREST
30,train_001569.png,./Flickr2K_Downsampled/LR/train_001569.png,510x339,001569.png,./Flickr2K_Downsampled/HR/001569.png,1020x678,NEAREST
32,train_002070.png,./Flickr2K_Downsampled/LR/train_002070.png,510x339,002070.png,./Flickr2K_Downsampled/HR/002070.png,1020x678,NEAREST
33,train_001736.png,./Flickr2K_Downsampled/LR/train_001736.png,510x339,001736.png,./Flickr2K_Downsampled/HR/001736.png,1020x678,NEAREST
46,train_002604.png,./Flickr2K_Downsampled/LR/train_002604.png,510x339,002604.png,./Flickr2K_Downsampled/HR/002604.png,1020x678,NEAREST
49,train_000585.png,./Flickr2K_Downsampled/LR/train_000585.png,510x339,000585.png,./Flickr2K_Downsampled/HR/000585.png,1020x678,NEAREST
50,train_000874.png,./Flickr2K_Downsampled/LR/train_000874.png,510x339,000874.png,./Flickr2K_Downsampled/HR/000874.png,1020x678,NEAREST
