,LR_filename,LR_filepath,LR_dimensions,HR_filename,HR_filepath,HR_dimensions,downsample_method
0,train_000736.png,./Flickr2K_Downsampled/LR/train_000736.png,510x381,000736.png,./Flickr2K_Downsampled/HR/000736.png,1020x762,NEAREST
1,train_000402.png,./Flickr2K_Downsampled/LR/train_000402.png,510x396,000402.png,./Flickr2K_Downsampled/HR/000402.png,1020x792,NEAREST
2,train_000474.png,./Flickr2K_Downsampled/LR/train_000474.png,510x333,000474.png,./Flickr2K_Downsampled/HR/000474.png,1020x666,NEAREST
3,train_001465.png,./Flickr2K_Downsampled/LR/train_001465.png,510x339,001465.png,./Flickr2K_Downsampled/HR/001465.png,1020x678,NEAREST
4,train_001479.png,./Flickr2K_Downsampled/LR/train_001479.png,510x339,001479.png,./Flickr2K_Downsampled/HR/001479.png,1020x678,NEAREST
5,train_000710.png,./Flickr2K_Downsampled/LR/train_000710.png,510x285,000710.png,./Flickr2K_Downsampled/HR/000710.png,1020x570,NEAREST
6,train_002370.png,./Flickr2K_Downsampled/LR/train_002370.png,510x285,002370.png,./Flickr2K_Downsampled/HR/002370.png,1020x570,NEAREST
7,train_001979.png,./Flickr2K_Downsampled/LR/train_001979.png,480x270,001979.png,./Flickr2K_Downsampled/HR/001979.png,960x540,NEAREST
8,train_000399.png,./Flickr2K_Downsampled/LR/train_000399.png,510x339,000399.png,./Flickr2K_Downsampled/HR/000399.png,1020x678,NEAREST
9,train_000181.png,./Flickr2K_Downsampled/LR/train_000181.png,507x336,000181.png,./Flickr2K_Downsampled/HR/000181.png,1014x672,NEAREST
10,train_001678.png,./Flickr2K_Downsampled/LR/train_001678.png,510x339,001678.png,./Flickr2K_Downsampled/HR/001678.png,1020x678,NEAREST
11,train_000757.png,./Flickr2K_Downsampled/LR/train_000757.png,507x339,000757.png,./Flickr2K_Downsampled/HR/000757.png,1014x678,NEAREST
12,train_002123.png,./Flickr2K_Downsampled/LR/train_002123.png,510x339,002123.png,./Flickr2K_Downsampled/HR/002123.png,1020x678,NEAREST
13,train_001250.png,./Flickr2K_Downsampled/LR/train_001250.png,399x264,001250.png,./Flickr2K_Downsampled/HR/001250.png,798x528,NEAREST
14,train_002312.png,./Flickr2K_Downsampled/LR/train_002312.png,510x339,002312.png,./Flickr2K_Downsampled/HR/002312.png,1020x678,NEAREST
15,train_000052.png,./Flickr2K_Downsampled/LR/train_000052.png,432x288,000052.png,./Flickr2K_Downsampled/HR/000052.png,864x576,NEAREST
16,train_000079.png,./Flickr2K_Downsampled/LR/train_000079.png,492x327,000079.png,./Flickr2K_Downsampled/HR/000079.png,984x654,NEAREST
17,train_001860.png,./Flickr2K_Downsampled/LR/train_001860.png,510x381,001860.png,./Flickr2K_Downsampled/HR/001860.png,1020x762,NEAREST
18,train_000260.png,./Flickr2K_Downsampled/LR/train_000260.png,339x510,000260.png,./Flickr2K_Downsampled/HR/000260.png,678x1020,NEAREST
19,train_001777.png,./Flickr2K_Downsampled/LR/train_001777.png,510x339,001777.png,./Flickr2K_Downsampled/HR/001777.png,1020x678,NEAREST
20,train_002236.png,./Flickr2K_Downsampled/LR/train_002236.png,510x339,002236.png,./Flickr2K_Downsampled/HR/002236.png,1020x678,NEAREST
21,train_001343.png,./Flickr2K_Downsampled/LR/train_001343.png,510x336,001343.png,./Flickr2K_Downsampled/HR/001343.png,1020x672,NEAREST
22,train_000158.png,./Flickr2K_Downsampled/LR/train_000158.png,510x339,000158.png,./Flickr2K_Downsampled/HR/000158.png,1020x678,NEAREST
23,train_000296.png,./Flickr2K_Downsampled/LR/train_000296.png,510x339,000296.png,./Flickr2K_Downsampled/HR/000296.png,1020x678,NEAREST
