,lr_filename,lr_filepath,scale_factor,hr_filename,hr_filepath
0,0001x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0001x2.png,2,0001.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0001.png
1,0002x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0002x2.png,2,0002.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0002.png
2,0003x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0003x2.png,2,0003.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0003.png
3,0004x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0004x2.png,2,0004.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0004.png
4,0005x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0005x2.png,2,0005.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0005.png
5,0006x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0006x2.png,2,0006.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0006.png
6,0007x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0007x2.png,2,0007.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0007.png
7,0008x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0008x2.png,2,0008.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0008.png
8,0009x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0009x2.png,2,0009.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0009.png
9,0010x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0010x2.png,2,0010.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0010.png
10,0011x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0011x2.png,2,0011.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0011.png
11,0012x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0012x2.png,2,0012.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0012.png
12,0013x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0013x2.png,2,0013.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0013.png
13,0014x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0014x2.png,2,0014.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0014.png
14,0015x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0015x2.png,2,0015.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0015.png
15,0016x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0016x2.png,2,0016.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0016.png
16,0017x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0017x2.png,2,0017.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0017.png
17,0018x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0018x2.png,2,0018.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0018.png
18,0019x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0019x2.png,2,0019.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0019.png
19,0020x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0020x2.png,2,0020.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0020.png
20,0021x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0021x2.png,2,0021.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0021.png
21,0022x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0022x2.png,2,0022.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0022.png
22,0023x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0023x2.png,2,0023.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0023.png
23,0024x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0024x2.png,2,0024.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0024.png
24,0025x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0025x2.png,2,0025.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0025.png
25,0026x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0026x2.png,2,0026.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0026.png
26,0027x2.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_LR_unknown/X2/0027x2.png,2,0027.png,/l/vision/v5/sragas/DIV2K/train/DIV2K_train_HR/0027.png
